,State,AreaName,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,All_With,All_Without,Population
1412,MO,"Carter County, Missouri",613,706,33034.0,33765.0,,2499.0,,40536.0,110.0,9,92.3,8,5092,1159,6251
1413,MO,"Cass County, Missouri",3862,5943,61584.0,61169.0,64260.0,61750.0,91161.0,52148.0,701.0,81,53.8,63,90177,9704,99881
1414,MO,"Cedar County, Missouri",1827,1554,31532.0,31765.0,,,,,783.0,17,56.7,13,11118,2631,13749
1415,MO,"Chariton County, Missouri",572,641,40642.0,41181.0,23833.0,35000.0,,33750.0,677.0,8,50.0,6,6857,576,7433
1416,MO,"Christian County, Missouri",3800,5079,53270.0,53252.0,36563.0,77308.0,,40920.0,63.0,53,45.9,37,70216,10227,80443
1417,MO,"Clark County, Missouri",459,469,43883.0,44467.0,,37321.0,,,952.0,9,67.8,7,5809,1040,6849
1418,MO,"Clay County, Missouri",9091,11046,62099.0,63678.0,41523.0,65202.0,67212.0,54515.0,79.0,173,55.7,122,205709,23131,228840
1419,MO,"Clinton County, Missouri",763,1093,54773.0,55192.0,34450.0,36157.0,72386.0,45806.0,835.0,22,59.3,15,17561,2472,20033
1420,MO,"Cole County, Missouri",4466,4771,53088.0,56494.0,28977.0,31417.0,60521.0,37941.0,64.0,53,45.3,37,65631,6917,72548
1421,MO,"Cooper County, Missouri",1129,1225,44549.0,46331.0,16568.0,,104107.0,51250.0,69.0,15,51.3,11,14313,1731,16044
1422,MO,"Crawford County, Missouri",2385,2708,36743.0,36935.0,,,,25536.0,931.0,30,75.0,24,20368,4007,24375
1423,MO,"Dade County, Missouri",738,735,37035.0,37407.0,,,,24792.0,833.0,10,58.4,7,6222,1262,7484
1424,MO,"Dallas County, Missouri",1685,1892,38062.0,38663.0,,,,54015.0,792.0,18,55.9,13,12748,3622,16370
1425,MO,"Daviess County, Missouri",567,773,41642.0,41627.0,,,,39375.0,75.0,9,58.9,7,6280,1797,8077
1426,MO,"DeKalb County, Missouri",636,755,41406.0,41309.0,,,,13946.0,395.0,6,38.4,6,8431,920,9351
1427,MO,"Dent County, Missouri",1575,2067,36831.0,37297.0,,,,24500.0,744.0,17,62.9,14,12542,2895,15437
1428,MO,"Douglas County, Missouri",1441,1500,30508.0,30627.0,,,,,519.0,11,46.7,10,10997,2396,13393
1429,MO,"Dunklin County, Missouri",3850,4686,31077.0,32203.0,22269.0,,,34145.0,1001.0,41,81.2,33,25728,5163,30891
1430,MO,"Franklin County, Missouri",5839,6102,48480.0,48655.0,,87837.0,78819.0,,769.0,92,54.4,64,90923,10139,101062
1431,MO,"Gasconade County, Missouri",1157,1159,42826.0,43062.0,,,,,64.0,15,38.0,9,13286,1389,14675
1432,MO,"Gentry County, Missouri",497,622,41912.0,42132.0,,,,,663.0,7,54.1,6,5862,759,6621
1433,MO,"Greene County, Missouri",22824,28709,41227.0,42115.0,29896.0,45140.0,28311.0,33079.0,698.0,220,51.3,162,239550,39818,279368
1434,MO,"Grundy County, Missouri",900,1120,37656.0,37941.0,,81563.0,,,719.0,11,55.6,9,8505,1567,10072
